Time,Velocity,Flow_meters,Flow_liters
1290,0.72,21.49,358.0833333
1295,0.71,21.36,355.95
1300,0.72,21.50,358.35
1305,0.71,21.37,356.15
1310,0.71,21.33,355.5
1315,0.71,21.20,353.3
1320,0.70,21.02,350.3333333
1325,0.71,21.20,353.2833333
1330,0.70,20.92,348.65
1335,0.71,21.14,352.3166667
1340,0.70,21.08,351.2833333
1345,0.69,20.81,346.8833333
